,DJ Name,Mean Ranking,Num Years,Num Sampled,Bayesian Ranking
359,NGHTMRE,83.0,1,2,58.161893203883494
361,Cedric Gervais,81.5,2,4,62.529514563106794
362,Nina Kraviz,69.25,4,1,60.949653259361995
365,FISHER,43.2,5,13,45.70594660194175
366,Illenium,53.5,2,14,51.3295145631068
369,Peggy Gou,38.333333333333336,6,3,42.18306364617044
372,Solardo,88.0,1,2,59.411893203883494
379,Nora En Pure,61.4,5,1,57.08094660194175
383,Plastik Funk,78.0,5,5,67.45594660194175
384,Green Velvet,83.0,3,10,66.44126213592233
391,ANNA,95.0,1,5,61.161893203883494
393,Blastoyz,95.5,2,1,68.1295145631068
396,MORTEN,61.666666666666664,3,9,55.774595469255665
400,Virtual Riot,78.0,1,19,56.911893203883494
401,KAAZE,65.0,4,1,58.52108183079057
409,VIZE,100.0,1,1,62.411893203883494
411,Joel Corry,48.0,3,7,48.94126213592233
412,Topic,74.33333333333333,3,6,62.107928802588994
413,Ofenbach,78.5,2,2,61.3295145631068
415,Acraze,82.5,2,6,62.92951456310679
418,Maya Jane Coles,97.0,1,5,61.661893203883494
421,Fred Again..,31.0,2,20,42.3295145631068
422,James Hype,70.0,2,5,57.92951456310679
423,MARTEN HØRGER,88.0,1,1,59.411893203883494
424,Kölsch,84.5,2,1,63.7295145631068
425,Maddix,82.0,2,1,62.7295145631068
430,Anyma,17.0,1,2,41.661893203883494
434,Dom Dolla,66.0,1,5,53.911893203883494
435,John Summit,70.0,1,4,54.911893203883494
437,DubVision,76.0,1,2,56.411893203883494
438,Jax Jones,82.0,1,13,57.911893203883494
440,Marnik,90.0,1,1,59.911893203883494
441,Mau P,91.0,1,6,60.161893203883494
444,Faustix,99.0,1,6,62.161893203883494
445,MEDUZA,100.0,1,19,62.411893203883494
