,DJ Name,Mean Ranking,Num Years,Num Sampled from,Num Sampled by
389,Deborah De Luca,61.75,4,0,17
390,Mike Perry,94.0,1,0,1
391,ANNA,95.0,1,5,0
392,Dimitri Vangelis & Wyman,96.0,1,0,0
393,Blastoyz,95.5,2,1,2
394,22Bullets,85.0,5,0,1
395,GORDO,32.0,4,0,1
396,MORTEN,61.666666666666664,3,9,9
397,Beauz,52.666666666666664,3,0,0
398,Panta Q,69.0,1,0,0
399,Naeleck,82.0,4,0,6
400,Virtual Riot,78.0,1,19,61
401,KAAZE,65.0,4,1,6
402,Giftback,90.0,1,0,0
403,Christina Novelli,91.0,1,0,0
404,KAKA,91.5,4,0,0
405,Luminn,96.0,1,0,0
406,Alexso,97.0,1,0,0
407,Daddy’s Groove,98.0,1,0,0
408,Dexter King,99.0,1,0,0
409,VIZE,100.0,1,1,10
410,Reinier Zonneveld,34.0,3,0,3
411,Joel Corry,48.0,3,7,8
412,Topic,74.33333333333333,3,6,6
413,Ofenbach,78.5,2,2,4
414,Honey Dijon,90.0,1,0,2
415,Acraze,82.5,2,6,5
416,Le Twins,86.33333333333333,3,0,0
417,Dubdogz,73.0,3,0,11
418,Maya Jane Coles,97.0,1,5,4
419,Cuebrick,93.66666666666667,3,0,0
420,The Martinez Brothers,76.0,3,0,6
421,Fred Again..,31.0,2,20,66
422,James Hype,70.0,2,5,7
423,MARTEN HØRGER,88.0,1,1,6
424,Kölsch,84.5,2,1,2
425,Maddix,82.0,2,1,7
426,Lizzy Wang,96.0,1,0,1
427,Indira Paganotto,73.0,2,0,0
428,Liu,88.5,2,0,2
429,Le Shuuk,99.0,1,0,8
430,Anyma,17.0,1,2,2
431,Keinemusik,35.0,1,0,1
432,Korolova,60.0,1,0,0
433,Mochakk,61.0,1,0,5
434,Dom Dolla,66.0,1,5,5
435,John Summit,70.0,1,4,7
436,Sara Landry,75.0,1,0,1
437,DubVision,76.0,1,2,4
438,Jax Jones,82.0,1,13,16
439,WUKONG,87.0,1,0,0
440,Marnik,90.0,1,1,7
441,Mau P,91.0,1,6,2
442,B Jones,94.0,1,0,0
443,Giuseppe Ottaviani,98.0,1,0,2
444,Faustix,99.0,1,6,2
445,MEDUZA,100.0,1,19,4
